lake,gear,sample,lat,long,Alosa_pseudoharengus,Ambloplites_rupestris,Ameiurus_melas,Ameiurus_natalis,Ameiurus_nebulosus,Amia_calva,Aplodinotus_grunniens,Catostomus_commersonii,Chrosomus_eos,Coregonus_artedi,Coregonus_clupeaformis,Cottidae,Cottus_cognatus,Culaea_inconstans,Cyprinella_spiloptera,Cyprinus_carpio,Dorosoma_cepedianum,Erimyzon_sucetta,Esox_americanus,Esox_lucius,Esox_masquinongy,Etheostoma_caeruleum,Etheostoma_exile,Etheostoma_nigrum,Fundulus_diaphanus,Hypentelium_nigricans,Ichthyomyzon_castaneus,Ictalurus_punctatus,Labidesthes_sicculus,Lepisosteus_oculatus,Lepisosteus_osseus,Lepomis_cyanellus,Lepomis_gibbosus,Lepomis_gulosus,Lepomis_macrochirus,Lepomis_megalotis,Lepomis_microlophus,Lota_lota,Luxilus_cornutus,Micropterus_dolomieu,Micropterus_salmoides,Morone_americana,Moxostoma_anisurum,Moxostoma_erythrurum,Moxostoma_macrolepidotum,Moxostoma_valenciennesi,Neogobius_melanostomus,Nocomis_biguttatus,Notemigonus_crysoleucas,Notropis_atherinoides,Notropis_heterodon,Notropis_heterolepis,Notropis_hudsonius,Notropis_stramineus,Notropis_volucellus,Noturus_gyrinus,Oncorhynchus_mykiss,Oncorhynchus_tshawytscha,Perca_flavescens,Percina_caprodes,Petromyzon_marinus,Pimephales_notatus,Pomoxis_nigromaculatus,Pungitius_pungitius,Rhinichthys_atratulus,Rhinichthys_cataractae,Salmo_salar,Salmo_trutta,Salvelinus_fontinalis,Salvelinus_fontinalis_._Salvelinus_namaycush,Salvelinus_namaycush,Sander_vitreus,Semotilus_atromaculatus,Umbra_limi,group,dist2trad,Acipenser_fulvescens,Coregonus_spp,Notropis_spp,Rhinichthys_obtusus,Pimephales_promelas,Ictiobus_cyprinellus,Percopsis_omiscomaycus,Percina_maculata,Noturus_flavus,Phoxinus_eos,Osmerus_mordax,Pomoxis_annularis,Phoxinus_neogaeus,Margariscus_margarita,Carassius_auratus,Hybognathus_hankinsoni,Alosa_spp,Ameiurus_spp,Luxilus_spp,Lepisosteus_spp,Cottus_spp,Oncorhynchus_spp,Salmo_spp,Ctenopharyngodon_spp,Sander_spp,Esox_spp,Ichthyomyzon_spp,Moxostoma_spp,Coregonus_pidschian,Noturus_miurus
Austin Lake,surface,AUS_11,42.167474,-85.551348,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,944,535,NA,NA,0,0,0,1870,0,0,0,NA,0,947,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,8631,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_12,42.165996,-85.547834,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,902,0,0,NA,0,0,0,0,0,65,0,NA,0,342,NA,NA,0,0,0,2335,0,0,0,NA,776,2576,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,8666,0,0,548,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_13,42.166702,-85.542627,NA,155,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,406,0,0,NA,0,627,0,246,0,136,0,NA,321,83,NA,NA,0,0,0,2912,0,0,0,NA,495,955,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,6038,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_14,42.16667,-85.540284,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1545,0,0,NA,0,0,0,0,0,68,0,NA,0,56,NA,NA,0,0,0,6262,0,0,0,NA,0,3927,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,1590,0,0,344,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_15,42.16955,-85.545637,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,184,0,NA,1120,208,NA,NA,0,0,0,831,0,0,0,NA,851,222,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,5257,0,0,300,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_16,42.171203,-85.543476,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,1897,475,NA,NA,0,0,0,1275,0,0,0,NA,0,783,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,4720,0,0,776,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_17,42.172696,-85.542424,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,251,0,0,NA,726,0,0,2122,0,481,0,NA,0,14,NA,NA,0,0,0,4332,342,0,0,NA,538,3217,0,NA,NA,NA,NA,0,0,0,0,0,606,0,NA,NA,0,NA,NA,5730,0,0,1309,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_18,42.17404,-85.541666,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,1006,0,1078,0,NA,0,115,NA,NA,0,0,0,1159,0,0,0,NA,0,502,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,6272,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_19,42.175083,-85.541201,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1035,0,0,NA,0,0,0,406,0,0,0,NA,1841,70,NA,NA,0,0,0,5641,0,0,0,NA,0,9447,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,7032,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_20,42.175345,-85.540958,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,3674,0,0,NA,0,0,0,503,0,0,0,NA,927,62,NA,NA,0,0,0,4858,0,0,0,NA,338,91,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,8946,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_21,42.171091,-85.538321,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,2090,0,0,0,NA,0,6920,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,9576,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_22,42.174627,-85.538753,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,543,0,0,NA,0,0,0,295,0,72,0,NA,0,306,NA,NA,0,0,0,2354,0,0,0,NA,144,1178,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,612,0,0,458,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_23,42.177993,-85.541667,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1578,0,0,NA,0,0,0,0,0,0,0,NA,0,73,NA,NA,0,0,0,9635,0,0,0,NA,0,2660,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,5222,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_24,42.180734,-85.543351,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1379,0,0,NA,0,0,0,0,0,0,0,NA,7408,72,NA,NA,0,0,0,3525,0,0,0,NA,1486,1793,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,2671,0,0,1346,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_25,42.184364,-85.543352,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1147,0,0,NA,0,515,0,0,463,0,0,NA,0,351,NA,NA,0,0,0,4246,0,0,0,NA,407,1777,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,1193,0,0,489,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_26,42.176112,-85.545645,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,2724,0,0,NA,0,0,0,1064,0,0,0,NA,1261,1561,NA,NA,0,0,0,5080,0,0,0,NA,0,4657,0,NA,NA,NA,NA,0,0,0,0,0,3153,0,NA,NA,0,NA,NA,7638,0,0,4091,1302,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1723,0,0,0,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_27,42.169398,-85.551187,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,8898,0,0,NA,0,0,0,0,0,0,0,NA,240,879,NA,NA,0,0,0,4845,0,0,0,NA,319,450,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,7521,0,0,1478,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_28,42.173562,-85.550991,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1250,0,0,NA,0,0,0,0,0,0,0,NA,1441,758,NA,NA,0,0,0,6142,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,5220,0,0,1177,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_29,42.178777,-85.552183,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,10,0,0,0,NA,0,2753,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,7077,0,0,1357,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_30,42.18008,-85.554057,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,861,0,297,0,NA,424,259,NA,NA,0,0,0,9740,0,0,0,NA,0,1511,0,NA,NA,NA,NA,0,0,0,0,0,2744,0,NA,NA,0,NA,NA,5212,0,0,5359,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_31,42.183113,-85.549443,NA,89,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,271,0,0,NA,0,0,0,2402,0,0,0,NA,4976,0,NA,NA,0,256,0,5079,0,0,0,NA,0,1301,0,NA,NA,NA,NA,0,0,0,0,0,714,0,NA,NA,0,NA,NA,3152,0,0,155,91,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_32,42.183517,-85.550219,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_33,42.18523,-85.555589,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,2571,0,1666,0,NA,5662,264,NA,NA,0,0,0,10277,0,0,0,NA,0,4889,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,11547,0,0,2227,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_34,42.187684,-85.552083,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1427,0,0,NA,0,0,0,3669,0,0,0,NA,0,0,NA,NA,0,1201,0,7774,0,0,0,NA,255,3387,0,NA,NA,NA,NA,0,0,0,0,0,2253,0,NA,NA,0,NA,NA,11442,0,0,384,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_35,42.188862,-85.550949,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1734,0,0,NA,0,0,0,765,192,0,0,NA,1784,99,NA,NA,0,174,0,6968,321,0,0,NA,0,3379,0,NA,NA,NA,NA,0,0,0,0,0,106,0,NA,NA,0,NA,NA,4570,0,0,1615,244,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,414,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_36,42.188266,-85.554875,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,938,0,0,0,NA,1944,1633,NA,NA,0,0,0,2419,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,943,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,benthic,AUS_37,42.18908,-85.55479,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,1178,0,0,NA,0,0,0,772,273,0,0,NA,648,0,NA,NA,0,121,0,7875,0,0,0,NA,307,2550,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,1583,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_38,42.186905,-85.557246,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,732,429,NA,NA,0,0,0,12,0,0,0,NA,0,3519,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,5227,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_39,42.181957,-85.561704,NA,211,NA,NA,NA,199,0,0,NA,NA,NA,NA,NA,0,0,197,0,0,NA,0,0,0,1680,340,114,0,NA,186,392,NA,NA,0,271,0,5552,0,0,0,NA,0,3988,0,NA,NA,NA,NA,0,0,0,0,0,583,0,NA,NA,0,NA,NA,1301,0,0,1886,93,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Lake,surface,AUS_40,42.182488,-85.556166,NA,459,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,201,0,0,NA,0,0,0,653,0,0,0,NA,0,191,NA,NA,0,0,0,1158,0,0,0,NA,0,1233,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,4643,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Manistique,surface,MAN_01,46.217606,-85.808142,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,2298,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Manistique,surface,MAN_02,46.228358,-85.789775,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,643,0,0,0,235,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,8321,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,4143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Manistique,benthic,MAN_03,46.230628,-85.789795,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,1234,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,6862,0,0,292,0,0,NA,0,NA,0,0,NA,0,100,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
